City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Yumen,CN,40.2833,97.2,71.56,20,1,6.46,clear sky
104,Nuuk,GL,64.1835,-51.7216,41.97,89,57,2.57,broken clouds
105,Jurm,AF,36.8648,70.8342,63.7,38,0,1.39,clear sky
106,Saskylakh,RU,71.9167,114.0833,60.62,60,100,6.31,overcast clouds
107,Saint George,US,37.1041,-113.5841,104.47,9,1,5.01,clear sky
108,Dhidhdhoo,MV,6.8833,73.1,82.17,73,98,15.68,overcast clouds
109,Sola,VU,-13.8833,167.55,75.87,88,90,0,light rain
110,Bonavista,CA,48.6499,-53.1147,56.12,76,76,16.4,broken clouds
111,Wagar,SD,16.1525,36.2032,81.68,69,93,11.45,overcast clouds
112,Cabo San Lucas,MX,22.8909,-109.9124,92.05,69,40,1.01,scattered clouds
113,Esperance,AU,-33.8667,121.9,58.84,74,1,20.54,clear sky
114,Smolenka,RU,52.1352,113.4974,55.47,94,20,0,mist
115,Mbandaka,CD,0.0487,18.2603,70.25,83,76,1.1,light rain
116,Kaitangata,NZ,-46.2817,169.8464,43.09,75,90,10.42,overcast clouds
117,Otradnoye,RU,59.7775,30.8181,63.18,97,98,4.97,overcast clouds
118,Xinmin,CN,41.9908,122.8253,77.25,72,68,3.67,light rain
119,Bubaque,GW,11.2833,-15.8333,76.87,88,100,8.19,moderate rain
120,Teguldet,RU,57.3064,88.1667,62.62,83,70,2.39,broken clouds
121,Tautira,PF,-17.7333,-149.15,84.22,76,29,9.66,scattered clouds
122,Saint-Philippe,RE,-21.3585,55.7679,68.22,88,41,8.81,light rain
123,Kapaa,US,22.0752,-159.319,86.32,70,40,5.01,scattered clouds
124,Taganak,PH,6.0833,118.3,78.94,79,91,12.19,overcast clouds
125,Bilibino,RU,68.0546,166.4372,61.34,31,75,1.43,broken clouds
126,Poum,NC,-20.2333,164.0167,70.68,58,59,16.62,broken clouds
127,Anadyr,RU,64.75,177.4833,57.7,58,40,13.42,scattered clouds
128,Coruripe,BR,-10.1256,-36.1756,71.74,84,35,8.39,scattered clouds
129,Faanui,PF,-16.4833,-151.75,79.05,77,22,12.37,light rain
130,Bowen,AU,-20.0167,148.2333,68.22,56,19,15.23,few clouds
131,Narsaq,GL,60.9167,-46.05,48.42,78,10,5.39,clear sky
132,Bad Frankenhausen,DE,51.35,11.1,57.69,93,48,6.33,scattered clouds
133,Sakaiminato,JP,35.55,133.2333,80.58,89,75,19.57,broken clouds
134,Matara,LK,5.9485,80.5353,76.41,91,95,8.7,overcast clouds
135,Inongo,CD,-1.95,18.2667,71.8,67,91,6.85,overcast clouds
136,Tripoli,LY,32.8752,13.1875,84.88,53,0,12.97,clear sky
137,Komsomolskiy,UZ,40.4272,71.7189,76.42,43,0,9.22,clear sky
138,Yellowknife,CA,62.456,-114.3525,55.92,47,75,6.91,broken clouds
139,Bredasdorp,ZA,-34.5322,20.0403,52.92,87,100,12.66,moderate rain
140,Nguru,NG,12.8791,10.4526,78.57,75,37,10.36,scattered clouds
141,Chokurdakh,RU,70.6333,147.9167,67.84,40,64,14.85,broken clouds
142,Chabahar,IR,25.2919,60.643,81.3,84,15,10.65,few clouds
143,Enid,US,36.3956,-97.8784,98.02,55,1,16.11,clear sky
144,Port Alfred,ZA,-33.5906,26.891,59,84,47,13.4,scattered clouds
145,Marsh Harbour,BS,26.5412,-77.0636,83.66,71,15,9.55,few clouds
146,Kulu,TR,39.0951,33.0799,65.82,68,22,6.06,few clouds
147,Konakovo,RU,56.7,36.7667,59.85,89,62,2.46,broken clouds
148,Nhulunbuy,AU,-12.2333,136.7667,77.61,73,75,13.8,broken clouds
149,Kostomuksha,RU,64.571,30.5767,53.55,98,100,7.05,overcast clouds
150,Noumea,NC,-22.2763,166.4572,71.58,53,71,12.06,broken clouds
151,Cururupu,BR,-1.8283,-44.8683,74.28,86,20,3.76,few clouds
152,Auki,SB,-8.7676,160.7034,84.18,65,29,1.68,scattered clouds
153,Monroe,US,43.1501,-77.6831,80.98,78,75,4.61,broken clouds
154,Noyabrsk,RU,63.1994,75.4507,60.15,76,9,9.1,clear sky
155,Chuy,UY,-33.6971,-53.4616,57.13,96,98,11.21,moderate rain
156,At-Bashi,KG,41.1702,75.8106,52.92,61,8,0.94,clear sky
157,Wanning,CN,18.8003,110.3967,84.13,80,100,8.3,overcast clouds
158,Gigmoto,PH,13.7796,124.39,84.34,71,97,1.32,overcast clouds
159,Kiama,AU,-34.6833,150.8667,57,80,99,10.6,overcast clouds
160,Laureles,US,26.1092,-97.4941,89.92,57,5,11.99,clear sky
161,Gornyak,RU,50.9942,81.4661,64.17,79,92,6.73,moderate rain
162,Wladyslawowo,PL,54.7909,18.4009,62.94,84,81,8.99,broken clouds
163,Port Lincoln,AU,-34.7333,135.8667,57.58,54,20,17.69,few clouds
164,Badiraguato,MX,25.3667,-107.5167,88.7,78,85,3.98,overcast clouds
165,Hobart,AU,-42.8794,147.3294,54.27,72,40,4,scattered clouds
