City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,La Macarena,CO,2021-08-07 20:31:05,2.1837,-73.7849,83.91,62,69,2.59
61,Katsuura,JP,2021-08-07 20:27:32,35.1333,140.3,78.91,95,100,21.83
62,Esperance,AU,2021-08-07 20:31:06,-33.8667,121.9,57.04,72,100,4.65
63,Morant Bay,JM,2021-08-07 20:31:06,17.8815,-76.4093,85.66,67,0,10.69
64,Busselton,AU,2021-08-07 20:31:07,-33.65,115.3333,57.04,92,99,5.3
65,Kapaa,US,2021-08-07 20:31:07,22.0752,-159.319,84.52,65,20,3.0
66,Ternate,ID,2021-08-07 20:31:08,0.8,127.4,76.35,91,100,1.57
67,Port Blair,IN,2021-08-07 20:31:08,11.6667,92.75,82.06,83,100,14.38
68,Faanui,PF,2021-08-07 20:28:59,-16.4833,-151.75,78.06,71,25,8.01
69,Chaman,PK,2021-08-07 20:31:09,30.9236,66.4512,79.43,14,0,4.72
70,Nadvoitsy,RU,2021-08-07 20:31:09,63.8667,34.3167,57.83,60,92,12.55
71,Arraial Do Cabo,BR,2021-08-07 20:31:10,-22.9661,-42.0278,71.56,68,40,17.27
72,Sitka,US,2021-08-07 20:31:10,57.0531,-135.33,62.49,82,75,8.05
73,Ust-Maya,RU,2021-08-07 20:31:10,60.4167,134.5333,53.4,59,1,7.07
74,Hithadhoo,MV,2021-08-07 20:31:11,-0.6,73.0833,82.27,73,100,9.69
75,Mahebourg,MU,2021-08-07 20:31:11,-20.4081,57.7,70.25,78,40,8.05
76,Rzhaksa,RU,2021-08-07 20:31:12,52.1338,42.0264,69.4,38,100,9.1
77,Mutoko,ZW,2021-08-07 20:31:12,-17.397,32.2268,57.88,52,0,8.37
78,Erenhot,CN,2021-08-07 20:31:13,43.6475,111.9767,77.65,33,100,11.74
79,Bethal,ZA,2021-08-07 20:31:13,-26.4579,29.4655,50.31,16,0,2.66
80,Thompson,CA,2021-08-07 20:31:14,55.7435,-97.8558,77.16,57,20,8.05
81,Chama,CH,2021-08-07 20:31:14,47.1821,8.4636,63.55,92,75,3.44
82,Damietta,EG,2021-08-07 20:29:23,31.4165,31.8133,82.29,73,0,14.52
83,Umm Lajj,SA,2021-08-07 20:31:14,25.0213,37.2685,90.43,53,5,6.02
84,Cidreira,BR,2021-08-07 20:31:15,-30.1811,-50.2056,61.65,89,3,10.8
85,Dikson,RU,2021-08-07 20:31:15,73.5069,80.5464,49.84,73,11,6.29
86,New Norfolk,AU,2021-08-07 20:31:16,-42.7826,147.0587,34.92,85,100,2.64
87,Isangel,VU,2021-08-07 20:31:16,-19.55,169.2667,69.91,73,40,4.61
88,Nantucket,US,2021-08-07 20:31:17,41.2835,-70.0995,81.12,84,1,10.36
89,Aklavik,CA,2021-08-07 20:28:34,68.2191,-135.0107,50.0,71,90,6.91
90,Ilulissat,GL,2021-08-07 20:31:17,69.2167,-51.1,42.28,72,100,7.45
91,Waddan,LY,2021-08-07 20:31:17,29.1614,16.139,89.91,35,0,17.43
92,Curuguaty,PY,2021-08-07 20:31:18,-24.4694,-55.6945,78.75,35,0,4.7
93,East London,ZA,2021-08-07 20:31:18,-33.0153,27.9116,59.61,81,38,12.48
94,Meulaboh,ID,2021-08-07 20:31:18,4.1363,96.1285,76.42,88,99,5.06
95,Tura,IN,2021-08-07 20:29:51,25.5198,90.2201,74.73,99,100,4.72
96,Bethel,US,2021-08-07 20:31:19,41.3712,-73.414,86.09,62,1,9.22
97,Bambous Virieux,MU,2021-08-07 20:28:55,-20.3428,57.7575,70.21,78,40,8.05
98,Shchors,UA,2021-08-07 20:31:20,51.8186,31.945,59.09,81,100,7.54
99,Beya,RU,2021-08-07 20:31:20,53.0533,90.9139,57.07,85,100,4.45
100,Baltasi,RU,2021-08-07 20:31:21,56.3462,50.2062,56.75,89,82,4.21
101,Necochea,AR,2021-08-07 20:26:34,-38.5473,-58.7368,54.03,63,48,13.35
102,Kavieng,PG,2021-08-07 20:31:21,-2.5744,150.7967,81.21,78,97,14.16
103,Traralgon,AU,2021-08-07 20:30:14,-38.1833,146.5333,47.91,96,84,0.96
104,Victoria,HK,2021-08-07 20:30:42,22.2855,114.1577,84.16,87,96,1.99
105,Kodiak,US,2021-08-07 20:31:22,57.79,-152.4072,56.71,72,90,9.22
106,Port Elizabeth,ZA,2021-08-07 20:29:36,-33.918,25.5701,59.29,94,40,6.91
107,Vestmannaeyjar,IS,2021-08-07 20:31:22,63.4427,-20.2734,55.33,90,100,10.58
108,Ryotsu,JP,2021-08-07 20:31:23,38.0833,138.4333,82.02,80,71,1.05
109,Talnakh,RU,2021-08-07 20:31:23,69.4865,88.3972,53.92,63,11,3.24
110,Palu,ID,2021-08-07 20:31:24,-0.8917,119.8707,76.26,92,100,3.09
111,Havre-Saint-Pierre,CA,2021-08-07 20:31:24,50.2334,-63.5986,66.56,77,40,13.8
112,Sao Miguel Do Araguaia,BR,2021-08-07 20:30:01,-13.275,-50.1628,83.07,32,100,5.12
113,Dzaoudzi,YT,2021-08-07 20:31:25,-12.7887,45.2699,71.49,88,0,4.61
114,Lodja,CD,2021-08-07 20:31:25,-3.4833,23.4333,69.58,93,99,2.53
115,Gravdal,NO,2021-08-07 20:30:29,68.1214,13.5031,59.56,68,100,11.56
116,Baruun-Urt,MN,2021-08-07 20:31:26,46.6806,113.2792,65.32,56,100,5.46
117,Vieques,PR,2021-08-07 20:31:26,18.425,-65.8329,89.91,74,7,11.32
118,Norman Wells,CA,2021-08-07 20:31:26,65.282,-126.8329,51.84,62,90,10.36
119,Beringovskiy,RU,2021-08-07 20:31:27,63.05,179.3167,43.56,86,100,25.34
120,Yellowknife,CA,2021-08-07 20:31:27,62.456,-114.3525,63.12,72,90,25.32
