City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
286,Tura,IN,75.0,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
288,Aktau,KZ,82.98,broken clouds,43.65,51.2,Silk Way Hotel
296,Wewak,PG,82.09,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
299,Kumluca,TR,82.58,clear sky,36.3703,30.2869,TurkuazKöy
301,Boa Vista,BR,84.18,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
304,Sao Felix Do Xingu,BR,79.9,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
312,Tual,ID,79.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
315,Faya,SA,77.52,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
316,Yuzhno-Sukhokumsk,RU,80.91,overcast clouds,44.6581,45.6436,Gostinitsa Kvankhidatli
319,Sibolga,ID,76.33,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
323,Shelburne,CA,75.96,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
328,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
330,Sorong,ID,80.2,overcast clouds,-0.8833,131.25,waigo splash hotel
334,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
338,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
342,Kalmunai,LK,77.94,overcast clouds,7.4167,81.8167,VS Villa
343,San Policarpo,PH,80.46,overcast clouds,12.1791,125.5072,JM Lodge
344,Odweyne,SO,76.71,broken clouds,9.4092,45.064,Eng Hiirey House
347,Placido De Castro,BR,81.09,clear sky,-10.3353,-67.1856,Hotel Carioca
348,Cao Bang,VN,80.98,overcast clouds,22.6667,106.25,khách sạn 88
349,Caucaia,BR,80.55,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
354,Kloulklubed,PW,82.62,moderate rain,7.0419,134.2556,Storyboard Beach Resort
355,Camocim,BR,79.47,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
356,Alyangula,AU,75.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
363,Pangai,TO,78.91,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
364,Naze,JP,83.32,clear sky,28.3667,129.4833,Amami Port Tower Hotel
365,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
370,Maraba,BR,81.34,few clouds,-5.3686,-49.1178,Hotel Del Principe
371,Lang Son,VN,81.03,overcast clouds,21.8333,106.7333,Khai Nga Hotel
373,Anloga,GH,77.22,overcast clouds,5.7947,0.8973,Pin Drop Hotel
377,Rodrigues Alves,BR,81.27,scattered clouds,-7.738,-72.6509,Pousada Aconchego
380,Bitung,ID,81.45,overcast clouds,1.4451,125.1824,K2 Lembeh
382,Kavaratti,IN,79.07,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
384,Lorengau,PG,83.61,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
385,Kamaishi,JP,83.35,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
388,Konstantinovsk,RU,75.61,broken clouds,47.5828,41.0922,Holiday Park Starodonye
389,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
391,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
392,Galle,LK,77.76,overcast clouds,6.0367,80.217,Amangalla
393,Pontianak,ID,75.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
395,Baillif,GP,80.1,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
399,Takoradi,GH,75.6,broken clouds,4.8845,-1.7554,Raybow International Hotel
407,San Pedro,PH,84.31,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
412,Puerto Salgar,CO,78.06,overcast clouds,5.463,-74.6544,Hotel Confort
416,Balykshi,KZ,80.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
418,Saint Anthony,US,78.53,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
424,Carutapera,BR,75.22,clear sky,-1.195,-46.02,Lidera
446,Tonantins,BR,75.69,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
448,Tubuala,PA,78.33,overcast clouds,9.5167,-79.0333,Río Nabagana
449,Sao Filipe,CV,78.94,scattered clouds,14.8961,-24.4956,Hotel Xaguate
450,Ban Bung,TH,78.08,overcast clouds,18.3081,100.7044,เฮือนวาดเขียน
451,Kokopo,PG,82.85,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
454,Jaguaribe,BR,83.66,broken clouds,-5.8906,-38.6219,Hotel Pinheiro
455,Biak,ID,77.5,overcast clouds,-0.9131,122.8766,Penginapan Kim
457,Kavieng,PG,83.86,light rain,-2.5744,150.7967,Nusa Island Retreat
458,Taonan,CN,77.25,broken clouds,45.3333,122.7833,Makro Hotel
460,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
464,Westport,US,76.32,moderate rain,41.1415,-73.3579,The Westport Inn
467,Kirksville,US,77.18,broken clouds,40.1948,-92.5833,Budget Host-Village Inn
469,Akyab,MM,80.28,overcast clouds,20.15,92.9,Hotel Memory
472,Kota Belud,MY,78.66,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
475,Ramanuj Ganj,IN,75.49,overcast clouds,23.8,83.7,HOTEL SAI SIDDHI
476,Shingu,JP,80.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
482,Waingapu,ID,78.49,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
484,Ternate,ID,81.01,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
489,The Valley,AI,84.06,haze,18.217,-63.0578,CeBlue Villas & Beach Resort
492,Sabalgarh,IN,79.25,overcast clouds,26.25,77.4,Kailadevi studio
494,Kaspiyskiy,RU,81.41,broken clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
496,Fukue,JP,79.16,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
502,Valle Nacional,MX,82.08,broken clouds,17.7833,-96.3167,Cabaña San Mateo Yetla
506,Bull Savanna,JM,79.03,light rain,17.8868,-77.5902,Big Red's
510,Bemidji,US,84.18,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
511,Teknaf,BD,79.48,overcast clouds,20.8624,92.3058,Forestry Guesthouse
512,Puerto El Triunfo,SV,81.03,broken clouds,13.2833,-88.55,Hotel Jardin
513,Tottori,JP,82.47,broken clouds,35.5,134.2333,Hotel Monarque Tottori
516,Haibara,JP,83.86,overcast clouds,34.5333,135.95,農事組合法人ざ・さとやま組合本部「離宮かやのもり」
517,Lazaro Cardenas,MX,83.53,broken clouds,17.9583,-102.2,quinta antigua
520,Neiafu,TO,77.68,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
522,Itacoatiara,BR,80.8,scattered clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
535,Tigzirt,DZ,77.83,broken clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
537,Tefe,BR,79.7,broken clouds,-3.3542,-64.7114,Aracati Hotel
546,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
553,Dwarka,IN,80.73,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
562,Tak Bai,TH,75.18,broken clouds,6.2595,102.0546,รุสสามาวาตี สามะแอ
569,Lompoc,US,81.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
572,Nuevitas,CU,80.55,broken clouds,21.5453,-77.2644,Hotel Caonaba
574,Fuxin,CN,76.64,light rain,42.0156,121.6589,Xinya International Hotel
575,Pemangkat,ID,79.05,overcast clouds,1.1667,108.9667,Ramah Kost KITA
583,Shimoda,JP,82.76,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
585,Bodhan,IN,80.8,overcast clouds,18.6667,77.9,Chandini manzil
591,Hobyo,SO,76.3,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
594,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
599,Baculin,PH,76.48,overcast clouds,7.4525,126.5842,Shovy's Cove
606,Mitsamiouli,KM,76.14,clear sky,-11.3847,43.2844,Foyer ADM
609,Itoman,JP,82.42,mist,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
620,Narasannapeta,IN,81.46,overcast clouds,18.4167,84.05,G.lingaraju home
623,North Bend,US,78.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
624,Vilyuysk,RU,75.36,broken clouds,63.7553,121.6247,Gostinitsa Viliuisk
628,Nata,PA,76.46,overcast clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
629,Gizo,SB,82.44,scattered clouds,-8.103,156.8419,Imagination Island
630,Celestun,MX,84.79,few clouds,20.8667,-90.4,Posada Lilia
631,Maicao,CO,82.33,broken clouds,11.3832,-72.2432,Hotel Sancho
632,Misratah,LY,80.67,clear sky,32.3754,15.0925,فندق الماسة
635,Tecoanapa,MX,81.99,scattered clouds,16.5167,-98.75,Hotel Manglares
640,Dongying,CN,80.65,light rain,37.4564,118.4856,Wanda Realm
643,Trairi,BR,79.18,clear sky,-3.2778,-39.2689,janelas do mar
645,Mogadishu,SO,76.33,light rain,2.0371,45.3438,Hotel Juba
652,Tarboro,US,82.31,clear sky,35.8968,-77.5358,SureStay Plus Hotel Tarboro by Best Western
655,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
656,Iquitos,PE,80.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
673,Guerrero Negro,MX,76.71,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
676,Powell River,CA,77.09,few clouds,49.8496,-124.5361,Rodmay Hotel
678,Neyshabur,IR,77.25,clear sky,36.2133,58.7958,Amiran Hotel
680,Araguaina,BR,79.23,clear sky,-7.1911,-48.2072,Hotel São Vicente
